id	title	vertical	host	scope	languages	authority
reuters_news	Reuters	news	reuters.com	reuters.com	*	0.9
ap_news	AP News	news	apnews.com	apnews.com	*	0.9
bbc_news	BBC News	news	bbc.com	bbc.com/news	*	0.9
xinhua_news	Xinhua	news	news.cn	news.cn	zh	0.85
cna_news	Channel News Asia	news	channelnewsasia.com	channelnewsasia.com	*	0.85
britannica	Britannica	knowledge	britannica.com	britannica.com	*	0.9
wikidata	Wikidata	knowledge	wikidata.org	wikidata.org	*	0.9
stanford_encyclopedia	Stanford Encyclopedia of Philosophy	knowledge	plato.stanford.edu	plato.stanford.edu	*	0.95
baidu_baike	Baidu Baike	knowledge	baike.baidu.com	baike.baidu.com	zh	0.75
medium	Medium	publishing	medium.com	medium.com	*	0.7
substack	Substack	publishing	substack.com	substack.com	*	0.7
jianshu	Jianshu	publishing	jianshu.com	jianshu.com	zh	0.7
toutiao	Toutiao	publishing	toutiao.com	toutiao.com	zh	0.7
wordpress	WordPress.com	publishing	wordpress.com	wordpress.com	*	0.7
codeberg	Codeberg	code	codeberg.org	codeberg.org	*	0.8
gitee	Gitee	code	gitee.com	gitee.com	zh	0.8
sourceforge	SourceForge	code	sourceforge.net	sourceforge.net	*	0.75
microsoft_learn	Microsoft Learn	docs	learn.microsoft.com	learn.microsoft.com	*	0.95
android_developers	Android Developers	docs	developer.android.com	developer.android.com	*	0.95
apple_developer	Apple Developer	docs	developer.apple.com	developer.apple.com	*	0.95
python_docs	Python Documentation	docs	docs.python.org	docs.python.org	*	0.95
rust_docs	Rust Documentation	docs	doc.rust-lang.org	doc.rust-lang.org	*	0.95
maven_central	Maven Central	packages	central.sonatype.com	central.sonatype.com	*	0.9
nuget	NuGet	packages	nuget.org	nuget.org	*	0.9
go_packages	Go Packages	packages	pkg.go.dev	pkg.go.dev	*	0.9
packagist	Packagist	packages	packagist.org	packagist.org	*	0.85
rubygems	RubyGems	packages	rubygems.org	rubygems.org	*	0.85
quora	Quora	qa	quora.com	quora.com	*	0.7
stackexchange	Stack Exchange	qa	stackexchange.com	stackexchange.com	*	0.8
superuser	Super User	qa	superuser.com	superuser.com	*	0.8
serverfault	Server Fault	qa	serverfault.com	serverfault.com	*	0.8
askubuntu	Ask Ubuntu	qa	askubuntu.com	askubuntu.com	*	0.8
product_hunt	Product Hunt	community	producthunt.com	producthunt.com	*	0.7
slashdot	Slashdot	community	slashdot.org	slashdot.org	*	0.7
dev_community	DEV Community	community	dev.to	dev.to	*	0.7
hashnode	Hashnode	community	hashnode.com	hashnode.com	*	0.7
bluesky	Bluesky	social	bsky.app	bsky.app	*	0.7
threads	Threads	social	threads.net	threads.net	*	0.7
weibo	Weibo	social	weibo.com	weibo.com	zh	0.7
douban	Douban	social	douban.com	douban.com	zh	0.7
core_academic	CORE	academic	core.ac.uk	core.ac.uk	*	0.9
doaj	Directory of Open Access Journals	academic	doaj.org	doaj.org	*	0.9
ssrn	SSRN	academic	ssrn.com	ssrn.com	*	0.85
biorxiv	bioRxiv	academic	biorxiv.org	biorxiv.org	*	0.9
medrxiv	medRxiv	academic	medrxiv.org	medrxiv.org	*	0.85
openalex	OpenAlex	research_index	openalex.org	openalex.org	*	0.9
datacite	DataCite	research_index	datacite.org	datacite.org	*	0.9
orcid	ORCID	research_index	orcid.org	orcid.org	*	0.9
researchgate	ResearchGate	research_index	researchgate.net	researchgate.net	*	0.75
base_search	BASE	research_index	base-search.net	base-search.net	*	0.85
nih	NIH	medical	nih.gov	nih.gov	*	0.95
cochrane	Cochrane	medical	cochrane.org	cochrane.org	*	0.95
clinical_trials	ClinicalTrials.gov	medical	clinicaltrials.gov	clinicaltrials.gov	*	0.95
nejm	New England Journal of Medicine	medical	nejm.org	nejm.org	*	0.95
bmj	BMJ	medical	bmj.com	bmj.com	*	0.95
jama	JAMA Network	medical	jamanetwork.com	jamanetwork.com	*	0.95
who_healthcare	World Health Organization	healthcare	who.int	who.int	*	0.95
cdc_healthcare	CDC	healthcare	cdc.gov	cdc.gov	*	0.95
nhs	NHS	healthcare	nhs.uk	nhs.uk	*	0.95
mayo_clinic	Mayo Clinic	healthcare	mayoclinic.org	mayoclinic.org	*	0.9
cleveland_clinic	Cleveland Clinic	healthcare	clevelandclinic.org	clevelandclinic.org	*	0.9
medlineplus	MedlinePlus	healthcare	medlineplus.gov	medlineplus.gov	*	0.95
ncbi	NCBI	biology	ncbi.nlm.nih.gov	ncbi.nlm.nih.gov	*	0.95
uniprot	UniProt	biology	uniprot.org	uniprot.org	*	0.95
ensembl	Ensembl	biology	ensembl.org	ensembl.org	*	0.95
protein_data_bank	RCSB Protein Data Bank	biology	rcsb.org	rcsb.org	*	0.95
kegg	KEGG	biology	kegg.jp	kegg.jp	*	0.9
nature_biology	Nature Biology	biology	nature.com	nature.com/subjects/biological-sciences	*	0.9
ars_technica	Ars Technica	technology	arstechnica.com	arstechnica.com	*	0.7
techcrunch	TechCrunch	technology	techcrunch.com	techcrunch.com	*	0.7
the_verge	The Verge	technology	theverge.com	theverge.com	*	0.7
wired	WIRED	technology	wired.com	wired.com	*	0.7
zdnet	ZDNET	technology	zdnet.com	zdnet.com	*	0.7
thirty_six_kr	36Kr	technology	36kr.com	36kr.com	zh	0.7
openai_agents_sdk	OpenAI Agents SDK	agents	openai.github.io	openai.github.io/openai-agents-python	*	0.95
anthropic_agents	Anthropic Agent Guidance	agents	anthropic.com	anthropic.com/research/building-effective-agents	*	0.95
langchain_agents	LangChain Agents	agents	docs.langchain.com	docs.langchain.com	*	0.9
autogen_agents	Microsoft AutoGen	agents	microsoft.github.io	microsoft.github.io/autogen	*	0.9
crewai_agents	CrewAI	agents	docs.crewai.com	docs.crewai.com	*	0.85
google_adk	Google Agent Development Kit	agents	google.github.io	google.github.io/adk-docs	*	0.9
intel_ark	Intel ARK	hardware	intel.com	intel.com/content/www/us/en/ark	*	0.95
amd_products	AMD Products	hardware	amd.com	amd.com/en/products	*	0.95
nvidia_products	NVIDIA Products	hardware	nvidia.com	nvidia.com/en-us/products	*	0.95
qualcomm_products	Qualcomm Products	hardware	qualcomm.com	qualcomm.com/products	*	0.95
arm_developer	Arm Developer	hardware	developer.arm.com	developer.arm.com	*	0.95
toms_hardware	Tom's Hardware	hardware	tomshardware.com	tomshardware.com	*	0.8
wikimedia_commons	Wikimedia Commons	image	commons.wikimedia.org	commons.wikimedia.org	*	0.85
unsplash	Unsplash	image	unsplash.com	unsplash.com	*	0.7
pexels	Pexels	image	pexels.com	pexels.com	*	0.7
pixabay	Pixabay	image	pixabay.com	pixabay.com	*	0.7
openverse	Openverse	image	openverse.org	openverse.org	*	0.8
youtube	YouTube	video	youtube.com	youtube.com	*	0.7
vimeo	Vimeo	video	vimeo.com	vimeo.com	*	0.7
bilibili	Bilibili	video	bilibili.com	bilibili.com	zh	0.7
dailymotion	Dailymotion	video	dailymotion.com	dailymotion.com	*	0.7
archive_video	Internet Archive Video	video	archive.org	archive.org/details/movies	*	0.8
ted_video	TED	video	ted.com	ted.com/talks	*	0.85
tripadvisor	Tripadvisor	travel	tripadvisor.com	tripadvisor.com	*	0.7
booking	Booking.com	travel	booking.com	booking.com	*	0.7
skyscanner	Skyscanner	travel	skyscanner.com	skyscanner.com	*	0.7
trip_com	Trip.com	travel	trip.com	trip.com	*	0.7
lonely_planet	Lonely Planet	travel	lonelyplanet.com	lonelyplanet.com	*	0.7
klook	Klook	travel	klook.com	klook.com	*	0.7
wikihow	wikiHow	lifestyle	wikihow.com	wikihow.com	*	0.7
lifehacker	Lifehacker	lifestyle	lifehacker.com	lifehacker.com	*	0.7
the_spruce	The Spruce	lifestyle	thespruce.com	thespruce.com	*	0.7
good_housekeeping	Good Housekeeping	lifestyle	goodhousekeeping.com	goodhousekeeping.com	*	0.7
martha_stewart	Martha Stewart	lifestyle	marthastewart.com	marthastewart.com	*	0.7
better_homes	Better Homes & Gardens	lifestyle	bhg.com	bhg.com	*	0.7
steam	Steam	games	store.steampowered.com	store.steampowered.com	*	0.7
ign	IGN	games	ign.com	ign.com	*	0.7
gamespot	GameSpot	games	gamespot.com	gamespot.com	*	0.7
metacritic_games	Metacritic Games	games	metacritic.com	metacritic.com/game	*	0.7
pcgamingwiki	PCGamingWiki	games	pcgamingwiki.com	pcgamingwiki.com	*	0.7
taptap	TapTap	games	taptap.cn	taptap.cn	zh	0.7
amazon	Amazon	shopping	amazon.com	amazon.com	*	0.7
jd	JD.com	shopping	jd.com	jd.com	zh	0.7
taobao	Taobao	shopping	taobao.com	taobao.com	zh	0.7
tmall	Tmall	shopping	tmall.com	tmall.com	zh	0.7
ebay	eBay	shopping	ebay.com	ebay.com	*	0.7
aliexpress	AliExpress	shopping	aliexpress.com	aliexpress.com	*	0.7
yahoo_finance	Yahoo Finance	finance	finance.yahoo.com	finance.yahoo.com	*	0.85
investing	Investing.com	finance	investing.com	investing.com	*	0.7
marketwatch	MarketWatch	finance	marketwatch.com	marketwatch.com	*	0.8
tradingview	TradingView	finance	tradingview.com	tradingview.com	*	0.7
eastmoney	Eastmoney	finance	eastmoney.com	eastmoney.com	zh	0.7
sina_finance	Sina Finance	finance	finance.sina.com.cn	finance.sina.com.cn	zh	0.7
bloomberg	Bloomberg	business	bloomberg.com	bloomberg.com	*	0.85
financial_times	Financial Times	business	ft.com	ft.com	*	0.85
forbes	Forbes	business	forbes.com	forbes.com	*	0.7
fortune	Fortune	business	fortune.com	fortune.com	*	0.7
cnbc	CNBC	business	cnbc.com	cnbc.com	*	0.7
caixin	Caixin	business	caixin.com	caixin.com	zh	0.8
espn	ESPN	sports	espn.com	espn.com	*	0.7
cbs_sports	CBS Sports	sports	cbssports.com	cbssports.com	*	0.7
sky_sports	Sky Sports	sports	skysports.com	skysports.com	*	0.7
the_athletic	The Athletic	sports	nytimes.com	nytimes.com/athletic	*	0.7
hupu	Hupu	sports	hupu.com	hupu.com	zh	0.7
sina_sports	Sina Sports	sports	sports.sina.com.cn	sports.sina.com.cn	zh	0.7
weather_com	The Weather Channel	weather	weather.com	weather.com	*	0.8
accuweather	AccuWeather	weather	accuweather.com	accuweather.com	*	0.8
meteoblue	Meteoblue	weather	meteoblue.com	meteoblue.com	*	0.8
