"sample","elapsed_ms"
"4501","1.728692"
"4502","1.799384"
"4503","1.711154"
"4504","2.393308"
"4505","2.302077"
"4506","1.944808"
"4507","2.005961"
"4508","1.916"
"4509","1.966962"
"4510","1.8975"
"4511","1.879577"
"4512","2.009192"
"4513","2.08023"
"4514","1.979461"
"4515","1.923385"
"4516","1.888539"
"4517","2.228692"
"4518","2.710731"
"4519","1.821154"
"4520","1.915116"
"4521","2.012424"
"4522","1.840846"
"4523","1.698077"
"4524","1.767885"
"4525","1.707692"
"4526","1.798769"
"4527","1.701231"
"4528","1.676923"
"4529","1.800884"
"4530","1.792538"
"4531","1.763692"
"4532","1.691846"
"4533","1.776808"
"4534","1.757847"
"4535","1.746346"
"4536","1.718923"
"4537","1.869731"
"4538","1.705654"
"4539","1.761961"
"4540","1.717769"
"4541","1.764269"
"4542","1.688116"
"4543","1.735615"
"4544","1.668808"
"4545","1.820962"
"4546","1.747385"
"4547","1.680885"
"4548","1.723807"
"4549","1.707884"
"4550","1.76"
"4551","1.697692"
"4552","1.868115"
"4553","1.772577"
"4554","1.763"
"4555","1.714577"
"4556","1.779308"
"4557","1.692693"
"4558","1.749193"
"4559","1.70177"
"4560","1.726269"
"4561","1.815538"
"4562","1.768077"
"4563","1.733308"
"4564","1.765307"
"4565","1.771269"
"4566","1.715577"
"4567","1.729423"
"4568","1.723"
"4569","1.925423"
"4570","1.737653"
"4571","1.760077"
"4572","1.712347"
"4573","1.803923"
"4574","1.712962"
"4575","1.708769"
"4576","1.723731"
"4577","1.858346"
"4578","2.142307"
"4579","1.726808"
"4580","1.724847"
"4581","1.685654"
"4582","1.763924"
"4583","1.659846"
"4584","1.803615"
"4585","1.771192"
"4586","2.339116"
"4587","2.088847"
"4588","1.899615"
"4589","1.964923"
"4590","2.016577"
"4591","1.874192"
"4592","1.9795"
"4593","2.107385"
"4594","2.054461"
"4595","1.924269"
"4596","1.864847"
"4597","1.947154"
"4598","1.8955"
"4599","2.26"
"4600","1.995115"
"4601","1.997154"
"4602","1.935539"
"4603","1.771539"
"4604","1.789461"
"4605","1.724577"
"4606","1.756654"
"4607","1.726731"
"4608","1.818423"
"4609","1.83527"
"4610","1.709654"
"4611","1.773077"
"4612","1.739308"
"4613","1.831462"
"4614","1.710116"
"4615","1.794192"
"4616","1.711538"
"4617","1.848885"
"4618","1.722461"
"4619","1.735423"
"4620","1.716577"
"4621","1.742269"
"4622","1.683577"
"4623","1.744308"
"4624","1.687731"
"4625","1.776731"
"4626","1.776385"
"4627","1.682923"
"4628","1.779038"
"4629","1.696731"
"4630","1.908346"
"4631","1.714038"
"4632","1.811461"
"4633","1.798077"
"4634","1.780423"
"4635","1.684"
"4636","1.817039"
"4637","1.685269"
"4638","1.707807"
"4639","1.713577"
"4640","1.700153"
"4641","1.828347"
"4642","1.709923"
"4643","1.775577"
"4644","1.680654"
"4645","1.767577"
"4646","1.663308"
"4647","1.799846"
"4648","1.683154"
"4649","1.86227"
"4650","1.692615"
"4651","1.763384"
"4652","1.696423"
"4653","1.744423"
"4654","1.696076"
"4655","1.70327"
"4656","1.711731"
"4657","1.847"
"4658","1.7395"
"4659","1.704269"
"4660","1.763654"
"4661","1.726808"
"4662","1.707154"
"4663","1.675846"
"4664","1.728653"
"4665","1.779923"
"4666","1.744923"
"4667","1.720885"
"4668","2.342769"
"4669","2.077154"
"4670","1.905308"
"4671","2.014539"
"4672","1.958923"
"4673","2.083885"
"4674","1.914538"
"4675","1.884654"
"4676","2.015385"
"4677","1.896424"
"4678","1.911385"
"4679","1.862115"
"4680","1.879808"
"4681","2.403269"
"4682","2.272769"
"4683","1.911769"
"4684","2.104577"
"4685","1.746346"
"4686","1.773654"
"4687","1.707884"
"4688","1.761924"
"4689","1.828731"
"4690","1.812346"
"4691","1.721693"
"4692","1.774692"
"4693","1.758808"
"4694","1.692153"
"4695","1.680346"
"4696","1.674423"
"4697","1.824885"
"4698","1.665884"
"4699","1.719346"
"4700","1.671808"
"4701","1.739577"
"4702","1.66627"
"4703","1.756846"
"4704","1.678154"
"4705","1.852885"
"4706","1.702539"
"4707","1.763346"
"4708","1.6845"
"4709","1.786269"
"4710","1.715077"
"4711","1.728692"
"4712","1.704231"
"4713","1.79"
"4714","1.719692"
"4715","1.741154"
"4716","1.780308"
"4717","1.699038"
"4718","1.889193"
"4719","1.703731"
"4720","1.885692"
"4721","1.782923"
"4722","1.814115"
"4723","1.703424"
"4724","1.811038"
"4725","1.65977"
"4726","1.734808"
"4727","1.673154"
"4728","1.706961"
"4729","1.792615"
"4730","1.683923"
"4731","1.713308"
"4732","1.70727"
"4733","1.779308"
"4734","1.690923"
"4735","1.849807"
"4736","1.70127"
"4737","1.872462"
"4738","1.6825"
"4739","1.752461"
"4740","1.719962"
"4741","1.739577"
"4742","1.675154"
"4743","1.708539"
"4744","1.680115"
"4745","1.763038"
"4746","1.718231"
"4747","1.685076"
"4748","1.72"
"4749","1.646538"
"4750","2.318423"
"4751","2.013077"
"4752","2.087193"
"4753","2.066539"
"4754","1.917731"
"4755","1.938308"
"4756","1.843885"
"4757","1.961"
"4758","1.975885"
"4759","1.888039"
"4760","1.941423"
"4761","2.002154"
"4762","1.943885"
"4763","2.159193"
"4764","2.341577"
"4765","1.897039"
"4766","1.848692"
"4767","1.852616"
"4768","1.756154"
"4769","1.890731"
"4770","1.770692"
"4771","1.685231"
"4772","1.779731"
"4773","1.701153"
"4774","1.765192"
"4775","1.706462"
"4776","1.770923"
"4777","1.807923"
"4778","1.744769"
"4779","1.681115"
"4780","1.792346"
"4781","1.677346"
"4782","1.783346"
"4783","1.698307"
"4784","1.744769"
"4785","1.824846"
"4786","1.706269"
"4787","1.762577"
"4788","1.716346"
"4789","1.75177"
"4790","1.697077"
"4791","1.767924"
"4792","1.692693"
"4793","1.851731"
"4794","1.700808"
"4795","1.776461"
"4796","1.687461"
"4797","1.786"
"4798","1.715769"
"4799","1.96023"
"4800","1.723962"
"4801","1.791115"
"4802","1.758923"
"4803","1.694038"
"4804","1.816039"
"4805","1.702576"
"4806","1.718769"
"4807","1.726346"
"4808","1.728231"
"4809","1.754846"
"4810","1.75823"
"4811","1.698269"
"4812","1.754654"
"4813","1.719115"
"4814","1.797308"
"4815","1.664923"
"4816","1.681961"
"4817","1.754923"
"4818","1.736846"
"4819","1.778654"
"4820","1.707654"
"4821","1.780423"
"4822","1.722769"
"4823","1.768346"
"4824","1.685077"
"4825","1.824654"
"4826","1.695653"
"4827","1.755115"
"4828","1.687731"
"4829","1.743576"
"4830","1.711846"
"4831","1.758384"
"4832","2.402654"
"4833","2.101539"
"4834","1.988269"
"4835","1.902115"
"4836","1.95323"
"4837","1.945461"
"4838","1.906692"
"4839","1.931808"
"4840","1.870808"
"4841","2.034347"
"4842","1.960385"
"4843","1.882577"
"4844","1.982846"
"4845","2.157231"
"4846","2.221885"
"4847","1.924346"
"4848","1.846884"
"4849","2.022808"
"4850","1.775693"
"4851","1.7655"
"4852","1.687308"
"4853","1.671115"
"4854","1.684307"
"4855","1.696693"
"4856","1.774308"
"4857","1.800077"
"4858","1.854154"
"4859","1.710192"
"4860","1.759038"
"4861","1.715769"
"4862","1.720423"
"4863","1.733385"
"4864","1.752539"
"4865","1.800962"
"4866","1.726615"
"4867","1.683847"
"4868","1.712423"
"4869","1.729615"
"4870","1.715885"
"4871","1.728347"
"4872","1.689269"
"4873","1.858769"
"4874","1.692692"
"4875","1.738423"
"4876","1.653"
"4877","1.732461"
"4878","1.709"
"4879","1.734615"
"4880","1.691077"
"4881","2.427269"
"4882","1.704423"
"4883","1.680731"
"4884","1.759462"
"4885","1.697577"
"4886","1.779077"
"4887","1.737615"
"4888","1.748769"
"4889","1.809884"
"4890","1.765615"
"4891","1.699654"
"4892","1.757269"
"4893","1.711153"
"4894","1.729115"
"4895","1.745384"
"4896","1.804769"
"4897","1.788269"
"4898","1.688077"
"4899","1.73823"
"4900","1.724385"
"4901","1.753539"
"4902","1.695347"
"4903","1.763654"
"4904","1.684885"
"4905","1.853961"
"4906","1.703269"
"4907","1.734462"
"4908","1.736616"
"4909","1.751384"
"4910","1.690423"
"4911","1.738423"
"4912","1.657846"
"4913","1.828808"
"4914","2.472192"
"4915","2.004423"
"4916","2.026884"
"4917","1.933962"
"4918","1.945615"
"4919","1.904423"
"4920","1.897116"
"4921","2.089423"
"4922","1.893961"
"4923","1.956038"
"4924","1.931769"
"4925","1.879885"
"4926","1.966615"
"4927","2.330846"
"4928","2.028923"
"4929","2.008923"
"4930","1.946269"
"4931","1.830539"
"4932","1.722423"
"4933","1.827692"
"4934","1.689384"
"4935","1.769"
"4936","1.708039"
"4937","1.915039"
"4938","1.724653"
"4939","1.695461"
"4940","1.747077"
"4941","1.718"
"4942","1.78577"
"4943","1.674846"
"4944","1.749924"
"4945","1.833269"
"4946","1.780192"
"4947","1.732115"
"4948","1.745538"
"4949","1.677846"
"4950","1.772"
"4951","1.717654"
"4952","1.749769"
"4953","1.838423"
"4954","1.726231"
"4955","1.760423"
"4956","1.686461"
"4957","1.7495"
"4958","1.676346"
"4959","1.739577"
"4960","1.634461"
"4961","1.873692"
"4962","1.701461"
"4963","1.766923"
"4964","1.703384"
"4965","1.737962"
"4966","1.731923"
"4967","1.727385"
"4968","1.704"
"4969","1.858538"
"4970","1.699616"
"4971","1.739347"
"4972","1.799231"
"4973","1.687038"
"4974","1.753885"
"4975","1.674961"
"4976","1.725307"
"4977","1.802693"
"4978","1.759654"
"4979","1.718847"
"4980","1.770654"
"4981","1.680885"
"4982","1.804807"
"4983","1.712193"
"4984","1.719884"
"4985","1.816423"
"4986","1.702153"
"4987","1.694269"
"4988","1.679615"
"4989","1.755192"
"4990","1.683269"
"4991","1.807615"
"4992","1.686115"
"4993","1.829654"
"4994","1.681231"
"4995","1.747846"
"4996","2.313577"
"4997","2.055885"
"4998","1.946154"
"4999","1.896423"
"5000","1.980769"
"5001","2.052269"
"5002","2.072346"
"5003","1.947308"
"5004","1.905731"
"5005","1.942962"
"5006","1.902692"
"5007","1.937193"
"5008","1.924462"
"5009","2.447"
"5010","2.009808"
"5011","1.851385"
"5012","1.96677"
"5013","1.724577"
"5014","1.710038"
"5015","1.814615"
"5016","1.7155"
"5017","1.948308"
"5018","1.732731"
"5019","1.745731"
"5020","1.729654"
"5021","1.751115"
"5022","1.733154"
"5023","1.879884"
"5024","1.719116"
"5025","1.776423"
"5026","1.714731"
"5027","1.705808"
"5028","1.783385"
"5029","1.761885"
"5030","1.786385"
"5031","1.716"
"5032","1.885269"
"5033","1.748153"
"5034","1.759769"
"5035","1.695692"
"5036","1.734692"
"5037","1.745385"
"5038","1.744385"
"5039","1.690654"
"5040","1.766308"
"5041","1.853539"
"5042","1.707923"
"5043","1.769692"
"5044","1.6965"
"5045","1.791346"
"5046","1.689039"
"5047","1.748462"
"5048","1.72977"
"5049","1.855"
"5050","1.724692"
"5051","1.772731"
"5052","1.70223"
"5053","1.7305"
"5054","1.722961"
"5055","1.804769"
"5056","1.696154"
"5057","1.799"
"5058","1.737231"
"5059","1.697538"
"5060","1.748461"
"5061","1.676961"
"5062","1.779423"
"5063","1.667193"
"5064","1.743961"
"5065","1.792538"
"5066","1.760384"
"5067","1.677654"
"5068","1.711038"
"5069","1.666115"
"5070","1.777961"
"5071","1.661846"
"5072","1.730615"
"5073","1.784961"
"5074","1.742923"
"5075","1.7075"
"5076","1.692039"
"5077","1.678615"
"5078","2.337346"
"5079","2.241"
"5080","1.930385"
"5081","2.034461"
"5082","2.0005"
"5083","2.048115"
"5084","1.9495"
"5085","1.928385"
"5086","1.868615"
"5087","1.912154"
"5088","1.8965"
"5089","2.091692"
"5090","1.89323"
"5091","2.444038"
"5092","2.051693"
"5093","1.820423"
"5094","1.853692"
"5095","1.759693"
"5096","1.790846"
"5097","1.884154"
"5098","1.695307"
"5099","1.774385"
"5100","1.703654"
"5101","1.743885"
"5102","1.6725"
"5103","1.754962"
"5104","1.6825"
"5105","1.863884"
"5106","1.749462"
"5107","1.780231"
"5108","1.692231"
"5109","1.747077"
"5110","1.689615"
"5111","1.749077"
"5112","1.702384"
"5113","1.841769"
"5114","1.700116"
"5115","1.690616"
"5116","1.769885"
"5117","1.673654"
"5118","1.771961"
"5119","1.720038"
"5120","1.766269"
"5121","1.868424"
"5122","1.780539"
"5123","1.686038"
"5124","1.840231"
"5125","1.728693"
"5126","1.738192"
"5127","1.6765"
"5128","1.722461"
"5129","1.865693"
"5130","1.718231"
"5131","1.778769"
"5132","1.715692"
"5133","1.779308"
"5134","1.696423"
"5135","1.767615"
"5136","1.707153"
"5137","1.830731"
"5138","1.683039"
"5139","1.727385"
"5140","1.695269"
"5141","1.7445"
"5142","1.701308"
"5143","1.731384"
"5144","1.70877"
"5145","1.760962"
"5146","1.709923"
"5147","1.716039"
"5148","1.751616"
"5149","1.684962"
"5150","1.769692"
"5151","1.655"
"5152","1.723231"
"5153","1.777539"
"5154","1.752653"
"5155","1.697192"
"5156","1.708269"
"5157","1.653461"
"5158","1.731"
"5159","1.639154"
