sample,elapsed_ms
13501,33.0
13502,32.582154
13503,32.97023
13504,31.982885
13505,32.580769
13506,33.410654
13507,31.694115
13508,33.521116
13509,31.469808
13510,32.669846
13511,31.510769
13512,33.211116
13513,31.042846
13514,34.290154
13515,31.859269
13516,31.273
13517,32.796923
13518,31.425808
13519,32.145269
13520,34.235461
13521,32.213808
13522,33.044307
13523,33.003923
13524,32.405384
13525,33.031577
13526,32.958423
13527,30.730885
13528,33.5685
13529,31.501423
13530,35.843577
13531,32.549423
13532,33.163038
13533,32.787615
13534,31.620577
13535,34.614654
13536,33.954654
13537,31.253462
13538,31.989039
13539,32.145885
13540,32.112731
13541,32.813846
13542,32.109384
13543,33.166731
13544,31.269885
13545,35.046654
13546,32.249615
13547,31.239539
13548,31.722
13549,32.321
13550,34.318616
13551,31.597231
13552,32.763962
13553,34.060308
13554,31.707423
13555,33.756539
13556,33.026115
13557,31.35127
13558,32.875462
13559,31.752385
13560,33.187385
13561,34.088231
13562,33.491384
13563,35.483653
13564,31.575846
13565,30.337654
13566,30.689808
13567,33.005654
13568,35.564116
13569,31.721423
13570,31.208423
13571,33.176616
13572,32.787769
13573,32.259846
13574,32.116654
13575,31.139731
13576,29.470577
13577,29.203384
13578,33.678692
13579,31.931385
13580,32.464923
13581,32.485231
13582,33.315692
13583,31.971731
13584,31.873462
13585,32.637038
13586,32.15123
13587,32.15
13588,31.866077
13589,32.358115
13590,33.921885
13591,32.004269
13592,32.180269
13593,30.669692
13594,30.969116
13595,32.694577
13596,32.251769
13597,30.621231
13598,31.316615
13599,31.940231
13600,31.461385
13601,33.788961
13602,31.700308
13603,31.089115
13604,30.721077
13605,31.273461
13606,32.503192
13607,32.895538
13608,32.516039
13609,32.193847
13610,32.408115
13611,32.860923
13612,32.029538
13613,32.951769
13614,33.708346
13615,32.410693
13616,34.072885
13617,36.04377
13618,31.798577
13619,30.879153
13620,31.901385
13621,31.451846
13622,30.714462
13623,32.607423
13624,30.96327
13625,32.473923
13626,31.513616
13627,31.319962
13628,31.025654
13629,31.739577
13630,32.449307
13631,31.855615
13632,32.446307
13633,31.717231
13634,31.915307
13635,31.752269
13636,31.580308
13637,32.21223
13638,32.586539
13639,32.288615
13640,33.390346
13641,31.831308
13642,32.662039
13643,32.766347
13644,32.996462
13645,33.738346
13646,31.508192
13647,31.640615
13648,30.702615
13649,30.879808
13650,31.901962
13651,32.345423
13652,32.441231
13653,31.205115
13654,31.216769
13655,32.060808
13656,30.169346
13657,31.395692
13658,31.8605
13659,32.444693
13660,32.7675
13661,33.003231
13662,32.188693
13663,31.745731
13664,32.901923
13665,32.251115
13666,54.572539
13667,32.084577
13668,31.499346
13669,33.852076
13670,31.8125
13671,31.639231
13672,35.240423
13673,32.463539
13674,31.32577
13675,30.328192
13676,31.139462
13677,31.921116
13678,32.673231
13679,33.497269
13680,31.469346
13681,31.723885
13682,32.284269
13683,32.774269
13684,30.287346
13685,31.789923
13686,31.884269
13687,33.803961
13688,32.912116
13689,32.083654
13690,32.443231
