sample,elapsed_ms
7501,32.755461
7502,33.193269
7503,33.626654
7504,33.135693
7505,35.160115
7506,32.818846
7507,34.349423
7508,32.762693
7509,32.2985
7510,33.093692
7511,33.455192
7512,36.145308
7513,38.787192
7514,33.0785
7515,34.351692
7516,33.509231
7517,34.04427
7518,35.359231
7519,33.956577
7520,33.838154
7521,35.264461
7522,35.298538
7523,34.288616
7524,37.105731
7525,36.194961
7526,34.296923
7527,33.321615
7528,33.439115
7529,33.298039
7530,32.625616
7531,33.720731
7532,35.482654
7533,33.753577
7534,32.140616
7535,33.024808
7536,32.991885
7537,35.064923
7538,34.976731
7539,35.466538
7540,33.51227
7541,32.526385
7542,35.530616
7543,34.096962
7544,32.761115
7545,33.643885
7546,36.362423
7547,33.2645
7548,34.799654
7549,34.668653
7550,34.564307
7551,34.234116
7552,38.711231
7553,37.678462
7554,32.594923
7555,34.692539
7556,31.916307
7557,34.023654
7558,32.606615
7559,35.215808
7560,38.229923
7561,32.047654
7562,40.087846
7563,33.064808
7564,32.946154
7565,34.492346
7566,35.084654
7567,34.032039
7568,33.848423
7569,35.308615
7570,32.689384
7571,35.642115
7572,34.363116
7573,34.7185
7574,34.818615
7575,35.398308
7576,35.673192
7577,33.508423
7578,33.76573
7579,33.969154
7580,35.651884
7581,36.608077
7582,35.957885
7583,33.353769
7584,32.991961
7585,31.907423
7586,42.289923
7587,32.611384
7588,35.334423
7589,38.591193
7590,36.537115
7591,32.788924
7592,32.467923
7593,32.453769
7594,33.4855
7595,35.706384
7596,32.756153
7597,33.443885
7598,33.031885
7599,33.191808
7600,33.139346
7601,39.040193
7602,35.000654
7603,36.094154
7604,33.950923
7605,33.778769
7606,34.427769
7607,35.000615
7608,35.6115
7609,32.381308
7610,33.754962
7611,32.402461
7612,34.141884
7613,33.434
7614,33.876346
7615,33.669192
7616,39.419
7617,35.396154
7618,33.083423
7619,36.038961
7620,32.368154
7621,56.039807
7622,33.573654
7623,33.085077
7624,33.388884
7625,33.518308
7626,35.660692
7627,33.507346
7628,33.400077
7629,34.278269
7630,35.142808
7631,34.376384
7632,34.647731
7633,34.941731
7634,36.803654
7635,36.520153
7636,36.243885
7637,32.877615
7638,33.029346
7639,31.764039
7640,31.779192
7641,32.800231
7642,35.239769
7643,35.989692
7644,34.870884
7645,33.190346
7646,34.454962
7647,33.3445
7648,31.983461
7649,33.156
7650,35.020269
7651,34.025116
7652,35.497231
7653,32.97
7654,33.820346
7655,33.882231
7656,33.895885
7657,34.201231
7658,33.820115
7659,33.846923
7660,33.610385
7661,34.522192
7662,34.546039
7663,38.7175
7664,32.827346
7665,32.505308
7666,32.251847
7667,33.612384
7668,33.071231
7669,33.991346
7670,34.538038
7671,39.235731
7672,32.912231
7673,33.404
7674,33.575654
7675,35.825154
7676,36.126616
7677,35.239654
7678,35.827154
7679,36.793077
7680,36.557462
7681,36.590384
7682,34.141999
7683,35.574039
7684,34.685346
7685,34.025115
7686,35.318423
7687,33.723384
7688,33.665692
7689,36.783077
7690,39.469384
7691,37.026539
7692,31.809077
7693,32.570307
7694,32.648153
7695,32.984384
7696,32.758961
7697,34.304538
7698,34.423115
7699,35.603077
7700,33.118193
7701,32.282577
7702,34.376384
7703,33.297769
7704,33.00427
7705,34.641538
7706,33.5975
7707,34.163769
7708,33.086193
7709,33.308038
7710,33.373231
7711,34.687653
7712,33.415654
7713,38.321269
7714,38.427731
7715,33.611308
7716,32.959577
7717,35.091577
7718,35.656692
7719,38.164654
7720,32.2935
7721,34.427192
7722,35.135577
7723,33.923923
7724,35.082384
7725,36.056692
7726,33.927731
7727,33.665154
7728,33.241615
7729,36.864461
7730,34.446923
7731,32.468461
7732,33.763884
7733,34.599885
7734,35.506346
7735,33.853153
7736,33.473385
7737,37.991692
7738,34.067846
7739,35.706961
7740,32.707654
7741,33.571846
7742,33.820308
7743,34.318692
7744,33.580154
7745,34.974308
7746,35.583
7747,32.394615
7748,34.899731
7749,32.419077
7750,32.504115
7751,33.843307
7752,34.003192
7753,32.818116
7754,33.640962
7755,38.873577
7756,34.163962
7757,32.796385
7758,32.594577
7759,32.034961
7760,33.496693
7761,36.150962
7762,34.251077
7763,35.409808
7764,34.760308
7765,32.965654
7766,55.729653
7767,33.114039
7768,33.376692
7769,34.409423
7770,33.736115
7771,32.713616
7772,34.872423
7773,35.433384
7774,32.828538
7775,32.717962
7776,32.884769
7777,32.451154
7778,33.627385
7779,33.953308
7780,34.319115
7781,33.153
7782,34.095884
7783,32.823654
7784,33.741962
7785,32.253231
7786,32.932846
7787,34.231692
7788,34.120347
7789,33.423731
7790,33.3575
7791,33.439808
7792,32.877423
7793,34.656999
7794,34.278577
7795,33.815923
7796,34.685846
7797,34.390461
7798,39.135577
7799,33.4975
7800,35.425692
7801,43.633654
7802,33.634538
7803,32.547115
7804,32.018731
7805,32.086077
7806,32.319231
7807,31.826846
7808,31.178692
7809,31.245692
7810,31.391269
7811,32.869923
7812,33.247847
7813,34.54323
7814,33.118269
7815,33.767
7816,41.344731
7817,34.214653
7818,34.604577
7819,34.393231
7820,34.403961
7821,34.6675
7822,35.97127
7823,33.3125
7824,34.467692
7825,35.117269
7826,39.943654
7827,36.737923
7828,37.091615
7829,30.803885
7830,30.544346
7831,33.456231
7832,31.155192
7833,31.128885
7834,31.730269
7835,34.105192
7836,42.58577
7837,42.461577
7838,40.613423
7839,35.281885
7840,33.166769
7841,33.404192
7842,34.523461
7843,33.485577
7844,34.926154
7845,34.826077
7846,34.323577
7847,34.396
7848,33.497231
7849,33.983231
7850,33.735577
7851,33.468692
7852,34.018846
7853,34.649077
7854,35.697846
7855,35.831038
7856,33.017692
7857,34.746731
7858,33.116077
7859,32.887077
7860,39.878116
7861,38.487846
7862,33.895961
7863,32.676231
7864,34.802577
7865,32.836731
7866,32.289077
7867,32.819308
7868,33.869039
7869,33.466
7870,33.288539
7871,32.161077
7872,55.504461
7873,33.356731
7874,33.389038
7875,33.506577
7876,33.077231
7877,35.322077
7878,33.460615
7879,33.102769
7880,33.882847
7881,36.035039
7882,34.276577
7883,34.607192
7884,32.453539
7885,32.289384
7886,32.095846
7887,33.880115
7888,32.946039
7889,33.695884
7890,32.54323
7891,33.015
7892,32.869076
7893,32.206
7894,32.535577
7895,33.329885
7896,30.703346
7897,31.871692
7898,31.356424
7899,31.333346
7900,32.73623
7901,33.110962
7902,32.349731
7903,33.324923
7904,33.5745
7905,33.174692
7906,33.373616
7907,32.945692
7908,34.603654
7909,32.343346
7910,38.3925
7911,31.098654
7912,31.800231
7913,30.5165
7914,33.255923
7915,32.24
7916,31.701846
7917,30.964615
7918,31.292807
7919,32.340962
7920,30.682616
7921,32.4945
7922,31.412884
7923,30.582615
7924,30.959115
7925,31.434846
7926,32.691616
7927,31.706
7928,35.864846
7929,31.936807
7930,31.595692
7931,32.729539
7932,32.299731
7933,32.558193
7934,32.642231
7935,31.630653
7936,36.073692
7937,34.601654
7938,31.525577
7939,30.646269
7940,30.262385
7941,31.544923
7942,32.965
7943,31.735807
7944,31.422
7945,34.171885
7946,32.332461
7947,35.370154
7948,35.437153
7949,33.056193
7950,32.952577
7951,32.496576
7952,34.569692
7953,34.603539
7954,33.667577
7955,33.870269
7956,34.022961
7957,33.638153
7958,33.049462
7959,32.602846
7960,31.949731
7961,33.633538
7962,32.862654
7963,36.261539
7964,37.015961
7965,31.402154
7966,31.005539
7967,32.511808
7968,30.245076
7969,32.144462
7970,32.861962
