sample,elapsed_ms
1,19.4925
2,3.203538
3,1.71977
4,1.706
5,1.513308
6,2.482
7,2.103307
8,2.430116
9,2.008885
10,1.777423
11,1.650308
12,1.849615
13,2.207115
14,2.382692
15,1.666885
16,1.742884
17,1.62427
18,1.690885
19,1.830923
20,1.782693
21,1.576269
22,1.741577
23,1.915807
24,2.356653
25,1.650885
26,1.556077
27,2.139347
28,1.552462
29,2.310077
30,1.633884
31,1.563385
32,1.565039
33,1.551231
34,1.613539
35,1.852269
36,1.5925
37,1.883923
38,2.077039
39,1.94127
40,2.063769
41,2.174923
42,1.878
43,1.833423
44,1.806384
45,1.906115
46,1.729962
47,2.023231
48,1.885577
49,1.941923
50,2.108346
51,1.999692
52,1.735846
53,2.004846
54,1.716693
55,1.996346
56,2.120077
57,1.989
58,1.803192
59,1.828462
60,1.984846
61,2.092808
62,2.320116
63,1.890231
64,1.905116
65,2.661269
66,2.186654
67,2.289346
68,1.89873
69,2.201423
70,2.498346
71,2.089616
72,2.047231
73,2.026654
74,4.419731
75,2.812384
76,2.304808
77,1.938038
78,1.947808
79,3.610154
80,2.254615
81,1.921269
82,1.5385
83,1.541039
84,1.617077
85,1.535346
86,1.546231
87,1.870308
88,1.542462
89,1.64027
90,1.674231
91,2.250961
92,2.471731
93,1.613654
94,1.507885
95,1.595038
96,1.5485
97,1.781923
98,1.576769
99,1.564462
100,1.786115
101,1.574808
102,1.885077
103,1.718461
104,1.552846
105,1.679308
106,1.541923
107,2.037269
108,1.559038
109,2.22673
110,1.861423
111,1.860923
112,1.812692
113,1.940231
114,5.113231
115,1.722808
116,1.917615
117,1.782731
118,2.0545
119,1.797038
120,1.887962
121,1.373039
122,1.407
123,2.053731
124,2.238423
125,1.562654
126,1.761308
127,2.139616
128,1.830269
