sample,elapsed_ms
1,0.512423
2,0.421269
3,0.484577
4,0.429577
5,0.409038
6,0.417192
7,0.415192
8,0.406654
9,0.412385
10,0.397731
11,0.395269
12,0.446038
13,0.416115
14,0.430115
15,0.407
16,0.425846
17,0.416769
18,0.398115
19,0.409231
20,0.419847
21,0.407346
22,0.466269
23,0.411154
24,0.402308
25,0.408115
26,0.396962
27,0.400153
28,0.395385
29,0.398884
30,0.416615
31,0.400961
32,0.479885
33,0.425539
34,0.399115
35,0.413077
36,0.407692
37,0.402231
38,0.417962
39,0.399115
40,0.398423
41,0.464269
42,0.407
43,0.406308
44,0.399808
45,0.394462
46,0.4195
47,0.395269
48,0.430846
49,0.400423
50,0.397115
51,0.473038
52,0.406885
53,0.410616
54,0.421693
55,0.402
56,0.411654
57,0.396654
58,0.394039
59,0.406616
60,0.440846
61,0.420231
62,0.418077
63,0.40323
64,0.4355
65,0.406538
66,0.402154
67,0.417461
68,0.408808
69,0.421731
70,0.487231
71,0.427846
72,0.426654
73,0.4185
74,0.420231
75,0.411384
76,0.404076
77,0.410538
78,0.411692
79,0.461616
80,0.447539
81,0.413115
82,0.421693
83,0.4135
84,0.402961
85,0.426961
86,0.4185
87,0.401115
88,0.461461
89,0.417385
90,0.419154
91,0.416885
92,0.401461
93,0.408884
94,0.414808
95,0.410577
96,0.437654
97,0.408038
98,0.473616
99,0.424039
100,0.407692
101,0.431346
102,0.422
103,0.558961
104,0.434616
105,0.410308
106,0.420961
107,0.466615
108,0.413577
109,0.421807
110,0.419116
111,0.422615
112,0.427885
113,0.417769
114,0.422462
115,0.412846
116,0.482038
117,0.42677
118,0.414577
119,0.416308
120,0.413385
121,0.399769
122,0.417885
123,0.409193
124,0.407807
125,0.447
126,0.429192
127,0.424269
128,0.420462
129,0.425115
130,0.421116
131,0.408423
132,0.414346
133,0.4235
134,0.413731
135,0.483961
136,0.409038
137,0.408731
138,0.411808
139,0.403538
140,0.408577
141,0.407923
142,0.412077
143,0.425731
144,0.484192
145,0.427615
146,0.423693
147,0.421077
148,0.423039
149,0.411077
150,0.418615
151,0.419192
152,0.403461
153,0.4615
154,0.419307
155,0.406731
156,0.421462
157,0.412
158,0.414269
159,0.4195
160,0.427461
161,0.417423
162,0.411038
163,0.472116
164,0.42827
165,0.424692
166,0.434154
167,0.412385
168,0.414
169,0.410654
170,0.409616
171,0.417385
172,0.461577
173,0.418846
174,0.436423
175,0.415384
176,0.448923
177,0.412731
178,0.410577
179,0.430077
180,0.408269
181,0.47023
182,0.443077
183,0.411192
184,0.430039
185,0.416731
186,0.407154
187,0.415
188,0.410077
189,0.407077
190,0.424769
191,0.47173
192,0.444692
193,0.413808
194,0.405308
195,0.422923
196,0.407
197,0.412616
198,0.427269
199,0.40523
200,0.469654
201,0.415193
202,0.405808
203,0.416461
204,0.403231
205,0.411692
206,0.423346
207,0.404654
208,0.445
209,0.466
210,0.421347
211,0.440039
212,0.41623
213,0.430538
214,0.428462
215,0.411615
216,0.421077
217,0.408077
218,0.405
219,0.473154
220,0.419115
221,0.414885
222,0.417539
223,0.410077
224,0.431692
225,0.408539
226,0.406731
227,0.430308
228,0.487615
229,0.444962
230,0.424347
231,0.413423
232,0.425846
233,0.413577
234,0.417307
235,0.410884
236,0.403538
237,0.474115
238,0.434731
239,0.419076
240,0.442154
241,0.420423
242,0.424
243,0.427346
244,0.411077
245,0.431769
246,0.421462
247,0.4585
248,0.415961
249,0.423193
250,0.418654
251,0.415192
252,0.42173
253,0.415616
254,0.421385
255,0.41977
256,0.491384
