sample,elapsed_ms
1501,32.284423
1502,30.28077
1503,32.766846
1504,31.338192
1505,33.231038
1506,34.183
1507,37.215731
1508,34.2525
1509,33.34873
1510,30.029769
1511,32.0845
1512,32.1355
1513,30.926038
1514,34.648038
1515,30.492577
1516,32.934769
1517,30.691962
1518,30.679577
1519,30.306077
1520,31.059308
1521,33.554654
1522,33.009154
1523,33.281923
1524,32.259769
1525,32.1485
1526,32.995539
1527,33.355231
1528,31.799615
1529,30.243385
1530,31.361539
1531,30.678884
1532,30.388615
1533,31.066539
1534,31.961538
1535,32.321038
1536,33.963
1537,37.91977
1538,30.658884
1539,30.808615
1540,31.06727
1541,32.769807
1542,31.615962
1543,32.3515
1544,32.273577
1545,32.528154
1546,33.316846
1547,33.515346
1548,33.117077
1549,30.275693
1550,31.400885
1551,36.537347
1552,30.020846
1553,32.265462
1554,31.678
1555,32.911693
1556,32.077346
1557,32.539654
1558,38.033885
1559,32.450193
1560,36.960192
1561,32.498115
1562,32.074077
1563,32.044346
1564,31.41473
1565,35.315116
1566,34.621308
1567,30.550923
1568,31.312692
1569,31.11723
1570,32.997346
1571,30.192808
1572,31.986769
1573,29.658769
1574,34.078307
1575,30.644615
1576,32.456077
1577,32.27627
1578,31.026962
1579,32.217692
1580,31.883692
1581,32.962423
1582,32.361654
1583,31.559269
1584,35.826999
1585,32.96973
1586,34.443039
1587,31.372731
1588,37.1955
1589,32.577
1590,32.046847
1591,34.543308
1592,32.949884
1593,34.1295
1594,31.328653
1595,30.54973
1596,30.573077
1597,52.388807
1598,32.062116
1599,32.912154
1600,31.926846
1601,32.080962
1602,31.223846
1603,33.179154
1604,33.564616
1605,34.221769
1606,31.523654
1607,30.722192
1608,30.798616
1609,30.070193
1610,31.182808
1611,31.498884
1612,32.176384
1613,30.758269
1614,31.055885
1615,31.48877
1616,31.011308
1617,30.945731
1618,30.618346
1619,31.994462
1620,31.78277
1621,32.538884
1622,31.833154
1623,34.847039
1624,35.880538
1625,31.189769
1626,31.033423
1627,31.791692
1628,30.957577
1629,37.384846
1630,33.172885
1631,31.923461
1632,30.941616
1633,30.479808
1634,30.466654
1635,30.350347
1636,31.426
1637,31.999115
1638,31.755769
1639,32.656308
1640,33.080231
1641,32.467808
1642,39.049192
1643,32.332808
1644,33.188346
1645,30.669385
1646,32.065346
1647,30.496807
1648,31.084154
1649,32.470731
