sample,elapsed_ms
9001,33.8945
9002,32.376961
9003,33.992577
9004,33.775654
9005,32.911038
9006,33.368731
9007,32.640615
9008,35.082154
9009,32.27573
9010,32.366654
9011,33.113385
9012,34.559192
9013,32.762654
9014,35.296461
9015,33.4775
9016,34.216385
9017,33.877961
9018,33.994077
9019,35.461769
9020,33.341116
9021,33.572962
9022,34.252385
9023,32.716615
9024,34.858231
9025,34.653654
9026,35.155115
9027,41.367077
9028,31.600462
9029,32.178461
9030,33.873192
9031,53.3525
9032,32.308231
9033,33.693577
9034,32.566769
9035,34.184769
9036,32.967038
9037,31.609077
9038,39.060693
9039,31.834577
9040,33.200116
9041,33.108539
9042,34.485
9043,33.923616
9044,33.474654
9045,35.421731
9046,33.682038
9047,32.958077
9048,33.087769
9049,34.191461
9050,33.488308
9051,35.113346
9052,33.173577
9053,33.119539
9054,33.998115
9055,35.811654
9056,33.614192
9057,34.038692
9058,32.74877
9059,34.271423
9060,33.620615
9061,34.054423
9062,33.931769
9063,32.879885
9064,33.243116
9065,32.85473
9066,32.957346
9067,31.765423
9068,32.066846
9069,37.813923
9070,35.522423
9071,33.819231
9072,32.354576
9073,32.887424
9074,33.615923
9075,33.859192
9076,33.440462
9077,32.981115
9078,32.6265
9079,33.982769
9080,34.548885
9081,34.561846
9082,37.774192
9083,35.779769
9084,32.769384
9085,31.968308
9086,32.221538
9087,34.061807
9088,35.213115
9089,32.294538
9090,35.028923
9091,34.070346
9092,33.319692
9093,33.460154
9094,32.610616
9095,32.374269
9096,32.212039
9097,32.236115
9098,33.398347
9099,34.094538
9100,33.734346
9101,33.102539
9102,33.420038
9103,54.389577
9104,33.042462
9105,34.191769
9106,33.282769
9107,33.926846
9108,33.754462
9109,32.774423
9110,36.179654
9111,34.163115
9112,33.268808
9113,31.870923
9114,31.981769
9115,33.512346
9116,32.823923
9117,34.954731
9118,34.440231
9119,32.626769
9120,36.608384
9121,33.867346
9122,37.274269
9123,31.971731
9124,32.272846
9125,32.826038
9126,32.982846
9127,34.435961
9128,36.851385
9129,33.099615
9130,34.621077
9131,34.081
9132,34.160385
9133,34.538269
9134,32.479962
9135,32.810385
9136,33.838461
9137,33.285461
9138,40.496654
9139,33.848231
9140,37.175615
9141,34.282269
9142,32.356231
9143,32.622577
9144,34.676115
9145,32.380884
9146,35.095231
9147,33.803923
9148,30.882154
9149,35.329615
9150,34.739384
9151,33.579231
9152,33.032308
9153,33.89023
9154,31.566154
9155,32.677577
9156,32.485577
9157,32.522077
9158,33.357
9159,32.855192
9160,33.267808
9161,36.226846
9162,34.180192
9163,34.4995
9164,34.432115
9165,35.561
9166,33.273154
9167,33.952385
9168,34.128461
9169,37.26923
9170,32.512269
9171,33.644192
9172,33.421384
9173,33.384923
9174,32.680538
9175,35.209539
9176,33.26023
9177,34.507423
9178,32.814923
9179,32.51573
9180,32.603807
9181,33.566269
9182,33.836654
9183,35.259423
9184,34.517423
9185,33.810884
9186,33.824769
9187,33.443384
9188,35.622692
9189,35.253538
9190,34.925
9191,39.6165
9192,33.655
9193,32.7595
9194,35.036769
9195,37.123231
9196,36.1985
9197,32.1615
9198,33.474885
9199,34.757538
9200,33.440923
9201,34.507731
9202,34.341038
9203,32.867
9204,34.33523
9205,33.469077
9206,33.692923
9207,32.920038
9208,33.488115
9209,31.928692
9210,34.491154
9211,34.103077
9212,33.599077
9213,35.294808
9214,34.522346
9215,34.773231
9216,33.328923
9217,33.081423
9218,33.880962
9219,34.299308
9220,34.239885
9221,34.063231
9222,35.428192
9223,34.339308
9224,38.07773
9225,34.052038
9226,31.639961
9227,32.739038
9228,33.430616
9229,34.36677
9230,34.908885
9231,33.401654
9232,33.542731
9233,32.493847
9234,35.371346
9235,32.75277
9236,33.012808
9237,32.205885
9238,32.929038
9239,33.970269
9240,34.688231
9241,33.197538
9242,41.771962
9243,35.057461
9244,34.029115
9245,34.410962
9246,33.607615
9247,33.278807
9248,53.633154
9249,34.279769
9250,45.350924
9251,35.293231
9252,33.536115
9253,35.0535
9254,33.080807
9255,32.419615
9256,33.890231
9257,32.513039
9258,32.96423
9259,34.877692
9260,38.403654
9261,32.286
9262,32.230385
9263,34.745116
9264,33.502154
9265,33.892385
9266,33.725846
9267,33.214654
9268,38.765577
9269,36.684731
9270,33.408538
9271,33.585654
9272,33.105577
9273,35.025347
9274,33.384654
9275,35.902077
9276,33.096269
9277,42.239769
9278,35.647
9279,32.985384
9280,32.997423
9281,32.012923
9282,33.051038
9283,32.553577
9284,33.169923
9285,34.804808
9286,33.672884
9287,41.021154
9288,35.964962
9289,35.74027
9290,35.750269
9291,32.595346
9292,37.75173
9293,39.342846
9294,34.407154
9295,33.132231
9296,33.226154
9297,34.8945
9298,34.795038
9299,32.474615
9300,32.883538
9301,34.376346
9302,35.205961
9303,34.244231
9304,39.971577
9305,33.804923
9306,36.163923
9307,33.899077
9308,33.667539
9309,33.060653
9310,38.354154
9311,33.328192
9312,35.977192
9313,32.458807
9314,32.736116
9315,33.795
9316,32.991308
9317,32.466846
9318,32.947539
9319,32.390077
9320,33.316692
9321,33.433769
9322,33.086846
9323,35.470231
9324,34.998462
9325,33.262616
9326,36.419807
9327,32.828115
9328,32.504692
9329,33.036615
9330,33.976692
9331,33.985116
9332,43.027116
9333,37.7245
9334,33.043923
9335,32.350616
9336,32.204269
9337,33.362885
9338,33.321039
9339,34.019923
9340,32.809346
9341,33.792346
9342,34.054038
9343,33.20773
9344,38.641115
9345,33.319423
9346,32.133692
9347,34.042731
9348,33.074462
9349,33.983769
9350,33.96573
9351,32.831538
9352,37.538423
9353,33.858192
9354,33.949961
9355,33.470461
9356,33.54227
9357,33.618654
9358,33.591308
9359,35.837154
9360,35.898539
9361,35.547116
9362,34.341231
9363,35.276115
9364,34.083154
9365,33.428807
9366,32.548346
9367,32.512
9368,34.056308
9369,32.201269
9370,38.288269
9371,34.403923
9372,31.550962
9373,33.432308
9374,33.783423
9375,33.55073
9376,33.838616
9377,33.609539
9378,32.824423
9379,33.31473
9380,33.469999
9381,34.206423
9382,35.416
9383,33.790192
9384,33.940962
9385,37.837192
9386,33.249346
9387,39.668231
9388,34.300577
9389,38.269116
9390,32.356731
9391,32.801
9392,32.942923
9393,51.943154
9394,33.551577
9395,32.130231
9396,34.852
9397,32.429654
9398,32.866308
9399,33.344923
9400,32.268461
9401,33.135693
9402,32.284577
9403,33.835807
9404,33.725346
9405,35.059307
9406,32.873577
9407,32.985192
9408,34.059461
9409,33.101077
9410,37.661885
9411,33.865423
9412,32.652115
9413,34.974192
9414,33.62
9415,35.222808
9416,37.232961
9417,33.911116
9418,32.408884
9419,33.089884
9420,32.577962
9421,33.74573
9422,32.656346
9423,34.333846
9424,33.101039
9425,33.0685
9426,32.716115
9427,33.031923
9428,34.742884
9429,37.894846
9430,32.136538
9431,34.123192
9432,33.73623
9433,34.627539
9434,33.102731
9435,36.2885
9436,33.645461
9437,34.214538
9438,33.845923
9439,33.302038
9440,32.967077
9441,34.831115
9442,37.737769
9443,36.391885
9444,33.900962
9445,33.171
9446,32.079654
9447,33.345731
9448,32.019731
9449,32.8775
9450,32.148154
9451,33.764077
9452,32.595346
9453,32.964653
9454,32.31923
9455,34.6345
9456,32.496231
9457,39.404808
9458,34.7785
9459,34.240961
9460,34.762154
9461,34.074538
9462,34.327769
9463,34.119039
9464,33.090885
9465,33.778
9466,40.404577
9467,33.249576
9468,33.719154
9469,35.628423
9470,36.370615
9471,32.4655
9472,32.051538
9473,33.680462
9474,32.584499
9475,33.635807
9476,35.055116
9477,32.118884
9478,35.142269
9479,32.3455
9480,33.350616
9481,33.200576
9482,32.547615
9483,32.249731
9484,33.836423
9485,34.764616
9486,39.95423
9487,33.31423
9488,34.391884
9489,33.752462
9490,33.384423
9491,34.294654
9492,34.654153
9493,34.060116
9494,33.476923
9495,34.435269
9496,34.660731
9497,36.066
9498,33.672923
9499,37.796846
9500,32.289962
9501,31.843807
9502,31.293308
9503,37.038923
9504,33.188192
9505,34.184808
9506,36.203731
9507,33.61523
9508,32.191154
9509,36.810039
9510,32.857577
9511,32.765769
9512,33.078538
9513,34.210846
9514,32.392538
9515,34.655
9516,32.527538
9517,35.873192
9518,32.9345
9519,33.109885
9520,33.205346
9521,33.894961
9522,32.735653
9523,35.042077
9524,34.651308
9525,35.54
9526,33.417154
9527,33.342962
9528,33.789115
9529,32.522731
9530,32.174462
9531,36.115615
9532,33.105231
9533,33.176653
9534,33.270654
9535,33.233654
9536,33.042424
9537,34.337577
9538,51.844846
9539,32.945577
9540,34.14577
9541,33.380077
9542,33.148769
9543,33.04677
9544,33.839692
9545,36.604885
9546,36.819885
9547,35.214923
9548,33.754384
9549,34.060654
9550,33.632116
9551,38.896346
9552,36.595192
9553,34.378577
9554,32.808038
9555,34.686347
9556,31.738039
9557,33.444231
9558,34.228961
9559,32.708692
9560,34.936077
9561,32.602231
9562,33.437347
9563,32.664307
9564,33.023885
9565,32.456385
9566,33.229615
9567,34.895539
9568,33.914961
9569,34.444385
9570,34.197307
9571,34.211192
9572,34.439962
9573,34.099461
9574,35.665847
9575,33.920231
9576,33.125538
9577,34.144346
9578,33.438846
9579,34.869346
9580,43.387923
9581,38.778385
9582,33.312
9583,34.339039
9584,32.353154
9585,32.855654
9586,33.151308
9587,35.818
9588,35.324462
9589,32.773461
9590,34.097385
9591,33.106269
9592,31.656884
9593,32.291539
9594,33.934654
9595,32.652692
9596,32.519731
9597,36.794923
9598,34.756615
9599,32.570461
9600,35.4285
9601,35.946577
9602,33.224
9603,33.0635
9604,35.319653
9605,34.184038
9606,34.891539
9607,37.028154
9608,35.220115
9609,32.536115
9610,32.742154
9611,33.945269
9612,34.828039
9613,32.753884
9614,32.328962
9615,33.336461
9616,34.393192
9617,32.799462
9618,32.341615
9619,33.503038
9620,32.998154
9621,32.313962
