sample,elapsed_ms
1,29.179423
2,3.4155
3,2.128847
4,2.050807
5,1.736846
6,2.256654
7,2.487308
8,2.243654
9,2.581961
10,1.835077
11,2.406115
12,2.825807
13,2.603923
14,2.924653
15,2.46673
16,2.494154
17,2.777269
18,1.919884
19,2.071961
20,2.027654
21,1.932038
22,2.305115
23,2.157808
24,6.9205
25,2.3155
26,1.791461
27,2.190192
28,1.732616
29,1.755308
30,2.464346
31,2.136846
32,1.857038
33,2.004539
34,2.181385
35,1.878385
36,1.651
37,1.589346
38,1.818616
39,1.651885
40,1.802769
41,1.663615
42,1.569462
43,1.684231
44,1.582038
45,1.710654
46,1.528885
47,1.704923
48,1.728961
49,1.533692
50,1.859808
51,1.695385
52,1.539269
53,1.839384
54,1.540039
55,1.803307
56,1.544231
57,1.588231
58,1.564731
59,1.516731
60,1.660116
61,1.68627
62,1.532307
63,1.673615
64,1.865385
65,1.745615
66,1.848654
67,1.769308
68,1.529076
69,1.522269
70,1.724577
71,1.694308
72,1.649769
73,1.7115
74,2.06973
75,1.543077
76,1.868962
77,1.532347
78,1.545346
79,2.206846
80,1.539923
81,1.808154
82,1.473885
83,1.438538
84,2.088616
85,1.923385
86,1.806731
87,2.143577
88,1.773923
89,1.747192
90,2.097116
91,2.041308
92,2.226038
93,1.853424
94,2.345423
95,1.961923
96,1.881615
97,2.020462
98,1.825884
99,2.3935
100,2.095962
101,1.873576
102,2.161885
103,2.132654
104,1.912
105,2.310307
106,1.958539
107,2.318269
108,1.823923
109,2.287192
110,1.948769
111,1.976999
112,1.883193
113,2.150347
114,19.608
115,4.463192
116,4.6795
117,3.094
118,4.179731
119,3.011
120,2.144462
121,1.842385
122,1.5855
123,4.325654
124,3.055692
125,1.323269
126,1.778616
127,1.884116
128,1.821231
