sample,elapsed_ms
1,0.547116
2,0.431846
3,0.529231
4,0.436615
5,0.448846
6,0.407461
7,0.404538
8,0.419423
9,0.3965
10,0.425808
11,0.441038
12,0.486
13,0.427461
14,0.399269
15,0.395808
16,0.404461
17,0.392115
18,0.407538
19,0.404384
20,0.407539
21,0.473539
22,0.420077
23,0.396923
24,0.414461
25,0.393116
26,0.426424
27,0.404038
28,0.395077
29,0.415538
30,0.393769
31,0.480423
32,0.407885
33,0.401039
34,0.410654
35,0.408576
36,0.403961
37,0.411885
38,0.397424
39,0.397615
40,0.460077
41,0.415462
42,0.434307
43,0.414577
44,0.399269
45,0.424731
46,0.393577
47,0.405616
48,0.398961
49,0.393616
50,0.463347
51,0.410231
52,0.421923
53,0.402154
54,0.398154
55,0.406423
56,0.403307
57,0.392615
58,0.42373
59,0.407385
60,0.480769
61,0.406962
62,0.394423
63,0.403308
64,0.404731
65,0.404269
66,0.401846
67,0.401423
68,0.41
69,0.441616
70,0.4025
71,0.409308
72,0.403693
73,0.401692
74,0.412538
75,0.419385
76,0.419769
77,0.400962
78,0.406616
79,0.454461
80,0.406039
81,0.4095
82,0.400923
83,0.406693
84,0.425769
85,0.400231
86,0.399346
87,0.396654
88,0.450538
89,0.423269
90,0.431231
91,0.408808
92,0.411693
93,0.394923
94,0.406423
95,0.393846
96,0.386769
97,0.395116
98,0.456846
99,0.420077
100,0.409269
101,0.394308
102,0.403346
103,0.391038
104,0.395385
105,0.398038
106,0.419654
107,0.410385
108,0.468347
109,0.406693
110,0.403077
111,0.393885
112,0.394769
113,0.387769
114,0.384539
115,0.405346
116,0.396423
117,0.430077
118,0.434192
119,0.419192
120,0.426616
121,0.394923
122,0.421538
123,0.41073
124,0.397192
125,0.411193
126,0.39573
127,0.453615
128,0.411
129,0.412077
130,0.400769
131,0.414731
132,0.404038
133,0.399692
134,0.393616
135,0.397692
136,0.408962
137,0.473538
138,0.430423
139,0.423347
140,0.403192
141,0.397923
142,0.390461
143,0.387077
144,0.401577
145,0.390885
146,0.440038
147,0.433154
148,0.413846
149,0.403461
150,0.391807
151,0.385885
152,0.406385
153,0.388615
154,0.417385
155,0.403538
156,0.469385
157,0.413615
158,0.404923
159,0.396576
160,0.396616
161,0.396808
162,0.408307
163,0.402307
164,0.406884
165,0.399115
166,0.411423
167,0.405385
168,0.407961
169,0.398961
170,0.425
171,0.404193
172,0.412192
173,0.401961
174,0.389577
175,0.462
176,0.406693
177,0.392039
178,0.419538
179,0.411115
180,0.410884
181,0.400308
182,0.388577
183,0.400269
184,0.394423
185,0.450808
186,0.435192
187,0.401
188,0.4165
189,0.3985
190,0.388577
191,0.413116
192,0.390308
193,0.40023
194,0.445692
195,0.429576
196,0.427807
197,0.399923
198,0.388692
199,0.404269
200,0.401115
201,0.40923
202,0.416154
203,0.406039
204,0.470923
205,0.411116
206,0.394884
207,0.410654
208,0.389192
209,0.408231
210,0.392616
211,0.401077
212,0.4225
213,0.4005
214,0.447961
215,0.41177
216,0.415923
217,0.411116
218,0.4185
219,0.403808
220,0.416115
221,0.402961
222,0.398308
223,0.440231
224,0.412808
225,0.402807
226,0.391346
227,0.406
228,0.412769
229,0.396231
230,0.401038
231,0.392616
232,0.397884
233,0.454846
234,0.422731
235,0.401808
236,0.414231
237,0.396885
238,0.3985
239,0.393923
240,0.393615
241,0.399384
242,0.38523
243,0.458423
244,0.431231
245,0.398308
246,0.4205
247,0.421461
248,0.417231
249,0.405846
250,0.434769
251,0.420808
252,0.455654
253,0.417346
254,0.399308
255,0.390885
256,0.402961
