page,groups,elapsed_ms
1,50,1200.350768
2,50,746.918038
3,50,682.0135
4,50,685.07923
5,50,702.579615
6,50,666.302384
7,50,753.747422
8,50,987.570769
9,50,640.176615
10,50,625.583653
11,50,647.841538
12,50,897.967076
13,50,638.222692
14,50,633.734038
15,50,633.320346
16,50,637.967115
17,50,761.513615
18,50,880.652384
19,50,632.802615
20,50,634.944192
21,50,629.376884
22,50,644.897153
23,50,627.785961
24,50,632.778461
25,50,632.299077
26,50,643.746153
27,50,618.403269
28,50,618.16223
29,50,624.243538
30,50,630.04973
31,50,631.670499
32,50,613.94873
33,50,625.862577
34,50,612.011115
35,50,612.590731
36,50,812.870961
37,50,784.538192
38,50,613.770846
39,50,662.460999
40,50,617.773345
41,50,612.763345
42,50,616.752346
43,50,629.397308
44,50,616.488999
45,50,616.729154
46,50,626.551038
47,50,762.457922
48,50,915.536653
49,50,846.66896
50,50,838.520114
51,50,927.709345
52,50,952.888499
53,50,926.991884
54,50,916.664769
55,50,912.137461
56,50,907.499153
57,50,842.615461
58,50,916.991038
59,50,841.153076
60,50,878.232346
61,50,949.236307
62,50,1011.592923
63,50,907.919269
64,50,809.97
65,50,669.529038
66,50,902.832576
67,50,803.411884
68,50,858.234499
69,50,878.864538
70,50,620.430654
71,50,628.695115
72,50,618.977384
73,50,611.145692
74,50,621.261922
75,50,601.450769
76,50,601.163615
77,50,609.958461
78,50,603.604922
79,50,615.655538
80,50,623.905962
81,50,601.754308
82,50,597.550154
83,50,616.433346
84,50,605.965807
85,50,871.295731
86,50,918.587191
87,50,721.620576
88,50,629.454769
89,50,629.277153
90,50,799.919846
91,50,881.16823
92,50,757.539884
93,50,609.173423
94,50,626.400692
95,50,599.854422
96,50,614.328999
97,50,622.911461
98,50,607.979154
99,50,629.189115
100,50,618.535499
101,50,623.474076
102,50,601.353
103,50,748.786038
104,50,625.188038
105,50,594.488307
106,50,626.336192
107,50,737.454
108,50,639.535384
109,50,598.087231
110,50,613.998115
111,50,639.153384
112,50,607.786
113,50,806.628153
114,50,950.826653
115,50,808.786191
116,50,615.434884
117,50,597.54873
118,50,597.432769
119,50,601.73273
120,50,622.980077
121,50,611.797653
122,50,606.867
123,50,613.137692
124,50,617.768231
125,50,602.79923
126,50,601.207461
127,50,604.769653
128,50,615.658923
129,50,616.467922
130,50,627.198422
131,50,615.20073
132,50,612.92273
133,50,621.274576
134,50,612.904538
135,50,591.531192
136,50,592.828577
137,50,612.111961
138,50,584.577885
139,50,612.662268
140,50,623.227154
141,50,597.322115
142,50,638.940846
143,50,823.430845
144,50,595.085192
145,50,628.175154
146,50,621.085153
147,50,584.637423
148,50,642.933345
149,50,617.158192
150,50,620.313153
151,50,600.738154
152,50,618.109
153,50,623.583153
154,50,604.986692
155,50,629.7205
156,50,607.28873
157,50,602.950461
158,50,612.039115
159,50,613.758884
160,50,617.902807
161,50,610.88423
162,50,699.243499
163,50,825.917845
164,50,858.740115
165,50,713.422884
166,50,596.656384
167,50,812.825961
168,50,686.222576
169,50,617.041768
170,50,598.633076
171,50,628.828884
172,50,605.181422
173,50,613.934615
174,50,621.287807
175,50,627.631345
176,50,614.295115
177,50,614.347231
178,50,602.305346
179,50,647.132884
180,50,608.024807
181,50,647.404384
182,50,606.930423
183,50,622.329692
184,50,597.519615
185,50,622.95923
186,50,608.451999
187,50,606.333115
188,50,679.027461
189,50,654.079384
190,50,624.608
191,50,599.897961
192,50,633.382731
193,50,616.016577
194,50,595.444961
195,50,602.242923
196,50,624.298615
197,50,639.416384
198,50,613.264961
199,50,748.830615
200,50,618.154499
201,1,15.868423
