pass,component,rows,elapsed_ms
0,index_seek,50,0.675039
0,header_aead_only,50,292.705769
0,identity_hmac_only,50,300.4305
0,authenticated_summaries,50,855.415653
0,complete_page,50,1056.004807
1,index_seek,50,1.3995
1,header_aead_only,50,349.344807
1,identity_hmac_only,50,219.336154
1,authenticated_summaries,50,735.287807
1,complete_page,50,850.077499
2,index_seek,50,0.979077
2,header_aead_only,50,204.962039
2,identity_hmac_only,50,136.25273
2,authenticated_summaries,50,512.597038
2,complete_page,50,668.294076
3,index_seek,50,1.220769
3,header_aead_only,50,197.699039
3,identity_hmac_only,50,140.845615
3,authenticated_summaries,50,499.006192
3,complete_page,50,700.167192
4,index_seek,50,0.901538
4,header_aead_only,50,215.088346
4,identity_hmac_only,50,153.644192
4,authenticated_summaries,50,585.1345
4,complete_page,50,1026.061692
