page,groups,elapsed_ms,preview_hits,preview_misses,body_reads
1,50,19.270038,50,0,0
2,50,25.137038,50,0,0
3,50,29.658462,50,0,0
4,50,17.170077,50,0,0
5,50,23.525846,50,0,0
6,50,16.728615,50,0,0
7,50,22.6515,50,0,0
8,50,17.383423,50,0,0
9,50,26.937692,50,0,0
10,50,17.610846,50,0,0
11,50,22.041692,50,0,0
12,50,19.468307,50,0,0
13,50,19.737115,50,0,0
14,50,26.545961,50,0,0
15,50,19.393538,50,0,0
16,50,28.524961,50,0,0
17,50,16.827539,50,0,0
18,50,17.953808,50,0,0
19,50,25.952154,50,0,0
20,50,24.097308,50,0,0
21,50,21.742807,50,0,0
22,50,17.88027,50,0,0
23,50,27.381153,50,0,0
24,50,26.947384,50,0,0
25,50,16.891038,50,0,0
26,50,25.920039,50,0,0
27,50,16.792193,50,0,0
28,50,24.470538,50,0,0
29,50,30.975,50,0,0
30,50,18.277346,50,0,0
31,50,16.761038,50,0,0
32,50,17.430192,50,0,0
33,50,22.343077,50,0,0
34,50,29.822807,50,0,0
35,50,18.858154,50,0,0
36,50,18.190654,50,0,0
37,50,23.993193,50,0,0
38,50,16.726692,50,0,0
39,50,22.877846,50,0,0
40,50,23.133115,50,0,0
41,50,21.598346,50,0,0
42,50,25.532961,50,0,0
43,50,16.681423,50,0,0
44,50,22.393807,50,0,0
45,50,31.575962,50,0,0
46,50,31.109654,50,0,0
47,50,20.13923,50,0,0
48,50,19.001346,50,0,0
49,50,25.414923,50,0,0
50,50,17.066962,50,0,0
51,50,16.669038,50,0,0
52,50,24.486653,50,0,0
53,50,28.826539,50,0,0
54,50,17.183577,50,0,0
55,50,28.962077,50,0,0
56,50,17.121423,50,0,0
57,50,23.769423,50,0,0
58,50,18.704385,50,0,0
59,50,25.140231,50,0,0
60,50,16.730423,50,0,0
61,50,24.802538,50,0,0
62,50,17.224731,50,0,0
63,50,36.314077,50,0,0
64,50,18.001923,50,0,0
65,50,17.070384,50,0,0
66,50,22.475653,50,0,0
67,50,24.786384,50,0,0
68,50,25.306346,50,0,0
69,50,18.87673,50,0,0
70,50,33.966231,50,0,0
71,50,25.515807,50,0,0
72,50,120.250807,50,0,0
73,50,26.947693,50,0,0
74,50,26.759269,50,0,0
75,50,39.111962,50,0,0
76,50,17.753423,50,0,0
77,50,16.384692,50,0,0
78,50,17.4205,50,0,0
79,50,22.944039,50,0,0
80,50,27.085347,50,0,0
81,50,24.237884,50,0,0
82,50,25.954385,50,0,0
83,50,16.843846,50,0,0
84,50,18.346846,50,0,0
85,50,23.593385,50,0,0
86,50,25.119346,50,0,0
87,50,21.469346,50,0,0
88,50,16.680731,50,0,0
89,50,23.633154,50,0,0
90,50,31.919846,50,0,0
91,50,23.882577,50,0,0
92,50,18.882423,50,0,0
93,50,18.563616,50,0,0
94,50,24.881423,50,0,0
95,50,17.361077,50,0,0
96,50,29.778385,50,0,0
97,50,17.235653,50,0,0
98,50,25.671654,50,0,0
99,50,27.202461,50,0,0
100,50,17.007153,50,0,0
101,50,23.645692,50,0,0
102,50,23.487808,50,0,0
103,50,26.01123,50,0,0
104,50,25.985077,50,0,0
105,50,26.142539,50,0,0
106,50,16.896615,50,0,0
107,50,23.138231,50,0,0
108,50,23.838231,50,0,0
109,50,23.319308,50,0,0
110,50,29.595038,50,0,0
111,50,17.173039,50,0,0
112,50,16.670269,50,0,0
113,50,23.788808,50,0,0
114,50,16.556577,50,0,0
115,50,19.159116,50,0,0
116,50,26.16723,50,0,0
117,50,17.827154,50,0,0
118,50,22.196153,50,0,0
119,50,28.274769,50,0,0
120,50,16.926615,50,0,0
121,50,26.458923,50,0,0
122,50,16.804961,50,0,0
123,50,21.856846,50,0,0
124,50,23.646731,50,0,0
125,50,25.218231,50,0,0
126,50,18.234347,50,0,0
127,50,27.195731,50,0,0
128,50,18.644923,50,0,0
129,50,34.890077,50,0,0
130,50,17.186885,50,0,0
131,50,27.129539,50,0,0
132,50,16.663808,50,0,0
133,50,25.919423,50,0,0
134,50,23.078039,50,0,0
135,50,17.484077,50,0,0
136,50,22.803154,50,0,0
137,50,23.069923,50,0,0
138,50,25.480923,50,0,0
139,50,24.343,50,0,0
140,50,18.154115,50,0,0
141,50,24.136577,50,0,0
142,50,20.863885,50,0,0
143,50,23.025038,50,0,0
144,50,25.237653,50,0,0
145,50,16.655692,50,0,0
146,50,25.759154,50,0,0
147,50,16.803923,50,0,0
148,50,25.445269,50,0,0
149,50,16.822731,50,0,0
150,50,28.450115,50,0,0
151,50,24.446077,50,0,0
152,50,25.364385,50,0,0
153,50,16.964423,50,0,0
154,50,19.407961,50,0,0
155,50,23.463154,50,0,0
156,50,23.408385,50,0,0
157,50,22.26927,50,0,0
158,50,17.374192,50,0,0
159,50,16.664654,50,0,0
160,50,16.457193,50,0,0
161,50,39.830462,50,0,0
162,50,19.019846,50,0,0
163,50,23.697961,50,0,0
164,50,24.391923,50,0,0
165,50,16.529769,50,0,0
166,50,17.716615,50,0,0
167,50,25.057846,50,0,0
168,50,24.623616,50,0,0
169,50,24.974154,50,0,0
170,50,16.88573,50,0,0
171,50,26.357077,50,0,0
172,50,19.876962,50,0,0
173,50,39.086731,50,0,0
174,50,18.817539,50,0,0
175,50,17.263153,50,0,0
176,50,16.807962,50,0,0
177,50,24.685807,50,0,0
178,50,26.542538,50,0,0
179,50,20.018423,50,0,0
180,50,16.593192,50,0,0
181,50,22.967808,50,0,0
182,50,22.911808,50,0,0
183,50,25.362731,50,0,0
184,50,24.146961,50,0,0
185,50,35.122076,50,0,0
186,50,17.985615,50,0,0
187,50,16.864616,50,0,0
188,50,26.800577,50,0,0
189,50,16.628653,50,0,0
190,50,23.187923,50,0,0
191,50,20.590962,50,0,0
192,50,26.676962,50,0,0
193,50,16.741154,50,0,0
194,50,26.878384,50,0,0
195,50,29.459,50,0,0
196,50,17.622654,50,0,0
197,50,27.927193,50,0,0
198,50,17.194346,50,0,0
199,50,19.406539,50,0,0
200,50,24.446154,50,0,0
201,1,6.039577,1,0,0
