sample,revision_ms,write_ms
0,12.283962,65.1055
1,4.081731,59.024885
2,4.441692,56.208077
3,4.676385,63.087808
4,4.043962,56.535
5,4.182193,48.961615
6,3.550769,55.498193
7,3.735461,51.679884
8,3.888,55.241307
9,3.560308,52.014499
10,4.088039,70.12077
11,4.144808,49.095423
12,3.555923,53.583769
13,3.609423,55.006154
14,3.475077,53.860231
15,4.468461,60.233654
16,3.663308,55.418615
17,3.751384,62.197346
18,3.524615,56.567231
19,3.389539,51.10827
20,4.121384,49.258577
21,3.436961,59.3545
22,5.294154,46.125615
23,3.557384,61.529385
24,4.016961,49.054577
25,3.439346,50.731346
26,3.420077,62.117384
27,3.382731,62.276923
28,3.64277,53.677077
29,3.443346,53.524269
30,3.842039,59.662077
31,4.009539,45.2725
32,3.532615,45.137
33,3.268192,57.584192
34,3.43677,46.593115
35,3.396807,47.726885
36,11.262923,50.483154
37,3.434461,51.141193
38,7.642077,53.459923
39,6.729423,63.012769
40,7.705115,54.068846
41,6.601423,64.132346
42,7.539808,56.700346
43,4.297769,71.386461
44,5.312,57.784038
45,6.705,61.7095
46,3.346308,47.345808
47,3.927116,51.293693
48,3.326116,48.570923
49,3.909423,52.2955
50,3.528961,52.497076
51,5.009884,43.818269
52,3.327961,47.754538
53,3.298077,46.102192
54,3.273692,48.248
55,3.295615,49.364077
56,3.338808,50.443884
57,3.750692,52.043731
58,3.407,45.674423
59,4.174077,55.371308
60,3.415808,46.391924
61,3.299038,44.902923
62,4.0765,54.826269
63,9.359846,61.990423
64,3.635346,43.265308
65,3.352884,45.339577
66,3.306654,56.388077
67,3.330384,47.987962
68,3.208846,49.525808
69,3.762923,46.969769
70,3.251307,49.619577
71,3.760269,48.587808
72,3.404038,50.121385
73,3.353193,43.826116
74,3.957731,45.080423
75,3.278077,53.038423
76,3.669538,46.823307
77,3.239961,56.263038
78,3.659385,42.934539
79,3.234577,45.466308
80,3.304885,45.118423
81,4.205654,45.238884
82,4.054885,54.038577
83,4.6035,45.965847
84,3.173192,46.562269
85,4.164693,45.752807
86,4.247115,56.277385
87,8.05327,43.57773
88,3.263692,52.662116
89,10.200692,44.875269
90,3.240923,43.448308
91,7.925308,44.421231
92,3.130039,50.010846
93,3.218923,45.099846
94,3.2835,49.969347
95,3.24523,48.149885
96,4.267,61.4475
97,8.020385,52.026385
98,5.333846,61.482077
99,6.281923,56.115462
100,6.248384,49.597962
101,3.429808,46.3475
102,3.378962,52.44427
103,3.526461,40.770077
104,3.195884,44.805039
105,3.083462,46.412423
106,3.123653,48.947038
107,3.163961,43.360307
108,3.070423,50.481231
109,3.231577,72.428231
110,6.666308,62.805385
111,5.321462,56.966077
112,5.613231,64.723116
113,3.318885,44.778539
114,4.011653,49.2515
115,3.350539,46.335231
116,3.154077,45.007615
117,4.013077,47.187692
118,4.016308,44.395538
119,4.069616,47.871962
120,3.186731,54.866269
121,3.179923,55.601269
122,3.226615,42.847154
123,4.002961,45.140884
124,4.071615,53.102654
125,3.073154,48.014615
126,4.323,54.677577
127,4.128308,59.835038
128,4.074462,43.774
129,3.167153,44.500884
130,4.3145,51.560962
131,3.9945,44.482038
132,4.046692,50.895269
133,3.088115,49.465961
134,3.258039,43.98973
135,3.228077,68.069847
136,3.740269,43.361692
137,3.263,42.786154
138,4.269538,43.704154
139,4.3575,45.540308
140,3.833423,44.305962
141,3.310693,47.467039
142,3.6855,49.658154
143,4.481962,46.351808
144,3.129654,46.396885
145,3.113731,49.489039
146,3.682038,49.198076
147,3.174,44.028923
148,4.198,49.921269
149,6.166962,41.032077
150,3.103769,43.768538
151,4.281769,43.840577
152,4.187462,46.305154
153,3.128885,59.349807
154,3.231885,46.413077
155,3.359538,49.17123
156,5.794654,53.808308
157,6.397039,54.965231
158,5.3675,63.414385
159,4.633423,48.391577
160,3.125961,45.697884
161,4.604384,48.548692
162,4.113461,44.553461
163,3.037923,43.70823
164,3.164308,50.673692
165,3.140192,53.040769
166,7.254654,41.327692
167,3.174769,45.016731
168,4.150384,44.274654
169,3.116077,44.285731
170,4.555193,44.891115
171,3.019077,45.401884
172,3.418808,50.377154
173,3.878884,42.479846
174,4.247346,45.796884
175,4.430923,77.469308
176,8.332462,71.628884
177,12.323462,69.180077
178,4.004039,49.318154
179,6.369539,98.552885
180,6.746154,82.877077
181,9.029885,85.176154
182,7.318923,69.774539
183,8.115654,82.2105
184,8.124192,66.092961
185,8.173461,68.79723
186,7.304808,71.445154
187,6.895538,68.829346
188,10.303154,61.000231
189,4.40073,70.529499
190,3.674307,49.525
191,8.2065,67.926193
192,7.723346,80.30073
193,8.721654,65.162615
194,7.364769,66.184346
195,7.200769,84.991769
196,3.915769,46.765346
197,3.908115,67.398269
198,4.797731,86.516423
199,4.789615,65.918731
