rows,phase,sample,elapsed_ms
1024,old-aggregate,1,0.804
1024,old-aggregate,2,0.721808
1024,old-aggregate,3,0.703885
1024,old-aggregate,4,0.700692
1024,old-aggregate,5,0.839769
1024,old-aggregate,6,0.791308
1024,old-aggregate,7,0.772385
1024,old-aggregate,8,0.794077
1024,indexed,1,3.631462
1024,indexed,2,0.235885
1024,indexed,3,0.217961
1024,indexed,4,0.209153
1024,indexed,5,0.208885
1024,indexed,6,0.210769
1024,indexed,7,0.198693
1024,indexed,8,0.192308
1024,indexed,9,0.190269
1024,indexed,10,0.193769
1024,indexed,11,0.187308
1024,indexed,12,0.194038
1024,indexed,13,0.191923
1024,indexed,14,0.207615
1024,indexed,15,0.242808
1024,indexed,16,0.2005
1024,indexed,17,0.192885
1024,indexed,18,0.188808
1024,indexed,19,0.188577
1024,indexed,20,0.185692
1024,indexed,21,0.187307
1024,indexed,22,0.188385
1024,indexed,23,0.175538
1024,indexed,24,0.172846
1024,indexed,25,0.173346
1024,indexed,26,0.173461
1024,indexed,27,0.169962
1024,indexed,28,0.171615
1024,indexed,29,0.171577
1024,indexed,30,0.171961
1024,indexed,31,0.172461
1024,indexed,32,0.170384
1024,indexed,33,0.207231
1024,indexed,34,0.184539
1024,indexed,35,0.179462
1024,indexed,36,0.1745
1024,indexed,37,0.182577
1024,indexed,38,0.176692
1024,indexed,39,0.174846
1024,indexed,40,0.174115
1024,indexed,41,0.173769
1024,indexed,42,0.173192
1024,indexed,43,0.172269
1024,indexed,44,0.170308
1024,indexed,45,0.181808
1024,indexed,46,0.174307
1024,indexed,47,0.174231
1024,indexed,48,0.173
1024,indexed,49,0.175769
1024,indexed,50,0.170808
1024,indexed,51,0.170308
1024,indexed,52,0.168615
1024,indexed,53,0.182615
1024,indexed,54,0.175077
1024,indexed,55,0.174115
1024,indexed,56,0.176884
1024,indexed,57,0.175961
1024,indexed,58,0.177385
1024,indexed,59,0.172154
1024,indexed,60,0.179423
1024,indexed,61,0.1785
1024,indexed,62,0.176
1024,indexed,63,0.175538
1024,indexed,64,0.177731
10240,old-aggregate,1,6.436193
10240,old-aggregate,2,6.191231
10240,old-aggregate,3,5.91223
10240,old-aggregate,4,5.6535
10240,old-aggregate,5,5.699923
10240,old-aggregate,6,5.176385
10240,old-aggregate,7,5.117116
10240,old-aggregate,8,4.94127
10240,indexed,1,0.229423
10240,indexed,2,0.14577
10240,indexed,3,0.136154
10240,indexed,4,0.133769
10240,indexed,5,0.127923
10240,indexed,6,0.131077
10240,indexed,7,0.125423
10240,indexed,8,0.124692
10240,indexed,9,0.1235
10240,indexed,10,0.122461
10240,indexed,11,0.123
10240,indexed,12,0.124192
10240,indexed,13,0.123423
10240,indexed,14,0.121769
10240,indexed,15,0.120962
10240,indexed,16,0.120538
10240,indexed,17,0.119923
10240,indexed,18,0.119115
10240,indexed,19,0.129115
10240,indexed,20,0.119192
10240,indexed,21,0.150808
10240,indexed,22,0.12273
10240,indexed,23,0.121347
10240,indexed,24,0.122346
10240,indexed,25,0.127423
10240,indexed,26,0.12027
10240,indexed,27,0.121423
10240,indexed,28,0.119346
10240,indexed,29,0.119885
10240,indexed,30,0.120692
10240,indexed,31,0.118269
10240,indexed,32,0.117539
10240,indexed,33,0.116885
10240,indexed,34,0.118346
10240,indexed,35,0.118
10240,indexed,36,0.116385
10240,indexed,37,0.1175
10240,indexed,38,0.117539
10240,indexed,39,0.117116
10240,indexed,40,0.116923
10240,indexed,41,0.116193
